City,Country,Date,Lat,Lng,Max Temp,Wind Speed,Cloudiness,Humidity
Burnie,AU,1592406453,-41.07,145.92,278.15,0.45,53,86
Cockburn Town,TC,1592406453,21.46,-71.14,300.97,8.33,100,80
Sørland,NO,1592406453,67.67,12.69,287.15,4.1,33,67
Atambua,ID,1592406453,-9.11,124.89,294.6,3.33,25,86
Tautira,PF,1592406454,-17.73,-149.15,297.15,2.6,90,94
Basoko,CD,1592406454,1.24,23.62,304.39,1.5,90,51
Solnechnyy,RU,1592405861,50.72,136.63,280.58,2.89,91,87
Haapiti,PF,1592406454,-17.57,-149.87,297.15,2.6,90,94
Kalakamati,BW,1592406455,-20.59,27.31,292.15,5.7,20,42
Olafsvik,IS,1592406455,64.89,-23.71,282.08,3.76,92,79
Cherskiy,RU,1592406455,68.75,161.3,292.42,0.43,89,46
Birao,CF,1592406456,10.28,22.79,305.54,2.35,84,45
Poum,NC,1592405912,-20.23,164.02,296.33,5.89,64,76
Vila Franca do Campo,PT,1592406456,37.72,-25.43,291.15,7.2,75,93
Ulladulla,AU,1592406456,-35.35,150.47,284.26,2.6,90,87
Kiama,AU,1592406457,-34.68,150.87,286.48,0.89,89,89
The Valley,AI,1592406457,18.22,-63.06,303.15,7.7,40,66
Kloulklubed,PW,1592405867,7.04,134.26,299.15,4.02,75,88
La Roche-sur-Yon,FR,1592406177,46.67,-1.43,290.15,5.1,2,72
Novovarshavka,RU,1592406458,54.17,74.69,290.08,0.92,0,55
Biak,ID,1592406458,-0.91,122.88,298.43,2.83,84,84
Şuraabad,AZ,1592406458,40.82,49.47,300.15,4.1,54,51
Boguchany,RU,1592406459,58.38,97.45,284.86,1.6,0,55
Bom Jesus,BR,1592406459,-9.07,-44.36,303.44,4.85,25,42
Adrian,US,1592406437,41.9,-84.04,297.04,2.1,1,46
Mount Gambier,AU,1592406460,-37.83,140.77,280.15,3.1,90,93
Las Vegas,US,1592406245,36.17,-115.14,299.15,3.6,1,15
Ranong,TH,1592406460,9.97,98.63,300.84,2.51,100,77
Villa Carlos Paz,AR,1592406461,-31.42,-64.5,295.37,0.5,39,68
Namatanai,PG,1592406461,-3.67,152.43,299.31,2.52,14,81
Bambanglipuro,ID,1592406461,-7.95,110.28,298.92,5.01,68,86
Kalmunai,LK,1592406461,7.42,81.82,302.97,2.88,78,69
Dabola,GN,1592406462,10.75,-11.12,308.91,0.86,16,43
Tazovsky,RU,1592406462,67.47,78.7,279.06,3.54,30,60
Severo-Yeniseyskiy,RU,1592406462,60.37,93.04,284.01,1.85,88,68
Chingirlau,KZ,1592406462,51.09,54.08,297.77,3.58,4,56
Atbasar,KZ,1592406463,51.8,68.33,292.56,2.09,94,53
Arman',RU,1592406463,59.7,150.17,281.17,1.44,72,87
Guider,CM,1592406463,9.93,13.95,308.15,3.35,40,50
Guánica,PR,1592406463,17.97,-66.91,304.82,3.58,50,51
Tilichiki,RU,1592406464,60.47,166.1,277.9,0.39,14,92
Vao,NC,1592406464,-22.67,167.48,295.7,5.94,37,81
San Patricio,MX,1592406464,19.22,-104.7,299.15,3.1,40,78
Xining,CN,1592405912,36.62,101.77,286.52,0.97,18,58
Kishapu,TZ,1592406465,-3.62,33.87,300.49,3.75,0,32
New Norfolk,AU,1592406466,-42.78,147.06,275.37,1.07,0,87
Rāzām,IN,1592406466,18.47,83.67,303.13,4.37,84,69
Vila,PT,1592406466,42.03,-8.16,292.59,3.6,40,59
Ubari,LY,1592406466,26.59,12.78,308.25,5.63,0,10
Mafinga,TZ,1592406467,-7.25,35.07,298.78,0.17,0,27
Kununurra,AU,1592405891,-15.77,128.73,290.15,1.5,0,38
Sal Rei,CV,1592406467,16.18,-22.92,303.15,7.2,0,55
Nadym,RU,1592406467,65.53,72.52,282.92,5.28,99,48
Tegul'det,RU,1592406468,57.31,88.17,286.1,2.47,0,74
Dhidhdhoo,MV,1592406468,6.88,73.1,302.44,6.62,100,79
Shingū,JP,1592406468,33.73,135.98,293.08,1.14,100,75
Rawson,AR,1592406468,-43.3,-65.1,286.53,4.97,96,46
Ubinskoye,RU,1592406469,55.31,79.68,286.35,1.94,0,74
Caravelas,BR,1592405875,-17.71,-39.25,297.34,5.82,81,64
Granby,CA,1592406453,45.4,-72.73,299.15,4.1,1,47
Madang,PG,1592406469,-5.22,145.8,297.33,1.68,88,87
Cukai,MY,1592406470,4.25,103.42,298.15,1.0,100,100
Inuvik,CA,1592406470,68.35,-133.72,288.15,3.6,75,77
Inongo,CD,1592406471,-1.95,18.27,299.53,1.18,85,47
Kaeo,NZ,1592406471,-35.1,173.78,289.82,2.68,100,3
Sabang,ID,1592406327,5.89,95.32,302.12,4.57,99,77
Cabo San Lucas,MX,1592406436,22.89,-109.91,302.59,3.63,5,28
Canutama,BR,1592406472,-6.53,-64.38,305.46,1.34,0,45
Mongar,BT,1592406472,27.27,91.24,291.21,0.19,99,96
Peleduy,RU,1592406473,59.63,112.74,283.92,1.38,26,84
Vardø,NO,1592406473,70.37,31.11,282.15,6.7,57,70
Mbanza-Ngungu,CD,1592406473,-5.25,14.87,301.89,1.01,3,37
Doka,SD,1592406473,13.52,35.77,305.57,3.78,86,46
Westport,US,1592406474,41.14,-73.36,296.48,4.1,1,60
Kyra,RU,1592406474,49.58,111.98,286.59,2.67,0,61
Santa Cruz de Tenerife,ES,1592406426,28.47,-16.25,295.37,6.7,75,83
Nyurba,RU,1592406474,63.28,118.33,284.09,2.93,97,87
Haines Junction,CA,1592406475,60.75,-137.51,282.67,2.93,37,59
Hattiesburg,US,1592406475,31.33,-89.29,299.82,1.76,1,73
Dzerzhinsk,RU,1592406475,56.24,43.46,295.15,1.0,40,94
Guarapari,BR,1592406475,-20.67,-40.5,297.59,4.4,67,67
Ballybofey,IE,1592406476,54.8,-7.78,289.15,4.1,90,93
Maku,IR,1592406476,39.29,44.45,295.88,3.6,86,48
Popondetta,PG,1592406476,-8.75,148.25,294.96,1.28,100,95
Manicoré,BR,1592406477,-5.81,-61.3,301.15,3.1,75,78
Kyabé,TD,1592406477,9.45,18.94,302.17,1.02,99,57
Longonjo,AO,1592406477,-12.91,15.25,296.15,3.1,0,31
Usinsk,RU,1592406478,65.99,57.53,280.81,9.15,94,57
Seidu,SL,1592406478,9.02,-10.6,298.64,2.6,74,85
Auki,SB,1592406478,-8.77,160.7,298.84,1.78,97,84
Manokwari,ID,1592406478,-0.87,134.08,299.71,2.38,31,77
Sedro-Woolley,US,1592406479,48.5,-122.24,287.15,2.1,90,82
Katunino,RU,1592406479,64.39,40.63,290.15,3.0,20,39
Moindou,NC,1592405881,-21.69,165.68,293.15,1.0,90,82
Srednekolymsk,RU,1592405892,67.45,153.68,294.49,2.43,96,39
Port Hedland,AU,1592406480,-20.32,118.57,292.15,1.87,0,77
Zlobin,HR,1592406480,45.29,14.65,296.48,3.1,40,60
Tambovka,RU,1592406480,50.1,128.05,284.15,0.4,10,93
Labuhan,ID,1592406480,-6.88,112.21,300.06,3.24,71,80
Multai,IN,1592406481,21.77,78.25,299.66,7.03,100,69
Verkhnevilyuysk,RU,1592406481,63.45,120.32,284.54,2.91,68,90
Campo Maior,BR,1592406482,-4.83,-42.17,303.52,4.04,0,51
Klyavlino,RU,1592406482,54.26,52.03,294.02,2.79,98,88
Lo Arado,MX,1592406482,19.62,-104.58,299.15,3.1,40,78
Uruçuí,BR,1592406482,-7.23,-44.56,304.17,5.44,1,46
Humboldt,US,1592406483,40.67,-123.92,286.48,1.5,90,93
Marsá Maţrūḩ,EG,1592406483,31.35,27.25,297.15,7.2,40,64
Sovetsk,RU,1592406483,55.08,21.88,297.01,3.33,39,82
Siavonga,ZM,1592406483,-16.54,28.71,296.2,2.02,48,41
Vikhorevka,RU,1592406484,56.12,101.16,285.15,0.85,0,71
Hihyā,EG,1592406484,30.67,31.59,314.15,5.1,0,22
Gutiérrez Zamora,MX,1592406484,20.45,-97.08,300.15,1.3,5,83
Requena,ES,1592406485,39.49,-1.1,301.48,6.72,48,21
Alice Springs,AU,1592406419,-23.7,133.88,279.15,1.0,0,38
Ambovombe,MG,1592406485,-25.17,46.08,291.94,7.15,0,69
Emporia,US,1592406486,38.4,-96.18,297.15,9.3,1,73
Acaraú,BR,1592406215,-2.89,-40.12,302.39,6.29,12,63
Harrisonburg,US,1592406413,38.45,-78.87,290.15,3.1,90,88
Airai,TL,1592406487,-8.93,125.41,286.31,2.12,9,95
Bereda,ES,1592406487,43.27,-7.54,289.26,1.79,100,94
North Platte,US,1592406487,41.12,-100.77,299.82,5.7,1,57
Vicuña,CL,1592406488,-30.03,-70.71,284.15,3.6,75,81
Kamaishi,JP,1592406488,39.27,141.88,288.92,1.65,0,80
Sukabumi,ID,1592406428,-6.92,106.93,294.82,0.47,44,100
Lakhipur,IN,1592406489,26.03,90.3,300.16,2.64,100,89
Bowen,AU,1592406489,-20.02,148.23,294.26,5.1,90,93
Seymchan,RU,1592406490,62.88,152.43,285.58,0.88,58,85
Lázaro Cárdenas,MX,1592406317,17.96,-102.2,303.12,0.67,0,59
Mahrīz,IR,1592406490,31.59,54.43,311.15,4.1,20,8
Yārāda,IN,1592406490,17.65,83.27,303.15,5.1,40,79
Narok,KE,1592406491,-1.08,35.86,290.57,3.39,33,75
Puerto Gaitán,CO,1592406255,4.31,-72.08,300.16,2.51,63,79
Tietê,BR,1592406491,-23.1,-47.71,295.15,2.6,0,60
Tigre,AR,1592406491,-34.43,-58.58,297.15,9.8,100,64
Andapa,MG,1592406492,-14.65,49.65,289.18,1.63,48,85
Kanata,CA,1592406332,45.32,-75.9,299.26,1.5,20,49
Joshīmath,IN,1592406492,30.57,79.57,292.22,0.45,45,53
Belaya Gora,RU,1592405899,68.53,146.42,293.91,1.16,0,37
São Francisco,BR,1592406493,-15.95,-44.86,299.01,4.53,49,47
Raudeberg,NO,1592406493,61.99,5.14,297.15,4.6,20,77
Çubuk,TR,1592406390,40.24,33.03,296.15,4.1,75,49
Codrington,AU,1592406494,-38.27,141.97,279.32,3.81,25,86
Yulara,AU,1592406494,-25.24,130.99,283.15,2.6,0,34
Prince Rupert,CA,1592406494,54.32,-130.32,283.15,1.13,40,87
Gáldar,ES,1592406495,28.15,-15.65,299.26,4.6,75,78
Yüksekova,TR,1592406495,37.57,44.29,305.15,2.1,20,18
Assiut,EG,1592406495,27.18,31.18,317.15,5.1,0,20
Pakxan,LA,1592406496,18.38,103.66,297.55,0.92,100,93
Eureka,US,1592406431,40.8,-124.16,287.04,2.0,0,100
Sistranda,NO,1592406497,63.73,8.83,293.15,5.7,20,72
Taoudenni,ML,1592406497,22.68,-3.98,318.65,8.38,0,6
Pendleton,US,1592406307,45.67,-118.79,287.59,5.7,90,62
Kiunga,PG,1592406497,-6.12,141.29,294.43,0.27,98,98
Ucluelet,CA,1592406498,48.93,-125.55,285.93,1.0,90,100
Sharjah city,AE,1592406498,25.36,55.4,309.15,3.6,0,60
Mutsu,JP,1592406498,41.29,141.22,289.15,1.0,40,82
Kargasok,RU,1592406499,59.06,80.86,289.86,4.0,0,64
Asău,RO,1592406499,46.43,26.4,293.15,1.15,100,81
Lucapa,AO,1592406499,-8.42,20.74,301.25,3.17,0,25
Lokosovo,RU,1592406500,61.13,74.82,281.96,5.23,100,91
Hamadan,IR,1592406500,34.8,48.51,302.3,4.83,5,14
Laguna,US,1592406485,38.42,-121.42,293.15,7.7,1,42
Dakar,SN,1592406501,14.69,-17.44,303.15,3.1,0,74
Kanadukathan,IN,1592406501,10.18,78.78,303.15,4.1,75,66
Severomuysk,RU,1592406501,56.15,113.43,278.32,1.25,28,83
Norfolk,US,1592406338,42.17,-71.25,298.71,1.5,1,49
Sterling,US,1592406502,39.01,-77.43,293.71,5.1,75,72
San Vicente,AR,1592406502,-26.62,-54.13,296.16,4.3,0,60
Clonmel,IE,1592406502,52.35,-7.7,291.48,0.45,93,74
Huzhou,CN,1592406503,30.87,120.09,306.48,0.49,99,68
Batagay,RU,1592406503,67.63,134.63,291.19,2.44,34,47
Otane,NZ,1592406503,-39.88,176.63,281.48,0.82,100,93
Ugoofaaru,MV,1592406504,5.67,73.0,302.24,5.44,100,82
Diapaga,BF,1592406504,12.07,1.79,310.59,3.73,81,36
Qasigiannguit,GL,1592406504,68.82,-51.19,277.15,2.6,75,69
Hofn,IS,1592406504,64.25,-15.21,283.02,3.47,0,65
Ingham,US,1592406437,42.6,-84.38,296.15,4.1,1,43
Bingerville,CI,1592406505,5.36,-3.89,301.15,8.2,75,83
Nizhniy Odes,RU,1592406505,63.64,54.86,283.05,5.46,86,49
Tot'ma,RU,1592406505,59.97,42.76,292.85,2.35,0,48
Chase,CA,1592406506,50.82,-119.69,285.93,1.13,0,86
Grand-Lahou,CI,1592406506,5.14,-5.02,299.69,6.56,60,87
Iaçu,BR,1592406482,-12.77,-40.21,302.6,5.29,12,39
Tooele,US,1592406507,40.53,-112.3,284.15,3.1,1,76
Khovd,MN,1592406507,48.01,91.64,292.7,1.49,82,42
Vega de Alatorre,MX,1592406508,20.03,-96.63,301.3,2.22,0,67
Dekar,BW,1592406508,-21.53,21.93,293.74,4.35,0,31
Verkhoyansk,RU,1592406508,67.54,133.38,291.81,2.95,48,49
Catalão,BR,1592406508,-18.17,-47.95,296.23,6.27,0,56
Kissidougou,GN,1592406509,9.18,-10.1,301.18,2.97,28,75
